id,x,y,z,tonn,blockvalue,destination,Au (oz/ton),Ag (oz/ton),Cu %
11769,4,20,42,12480,-16348,1,0.0,1.108,0.0
9772,4,20,44,24960,-32696,1,0.0,1.108,0.0
7913,4,20,46,24960,-32696,1,0.0,1.108,0.0
13894,4,22,40,6240,-8174,1,0.0,1.108,0.0
10833,4,22,42,21840,-28609,1,0.0,1.108,0.0
9849,4,22,44,24960,-32696,1,0.0,1.108,0.0
7966,4,22,46,24960,-32696,1,0.0,1.108,0.0
16014,4,24,38,7098,-11088,1,0.0,1.108,0.0
12927,4,24,40,21840,-28609,1,0.0,1.108,0.0
11915,4,24,42,24960,-32696,1,0.0,1.108,0.0
9916,4,24,44,24960,-32696,1,0.0,1.108,0.0
8011,4,24,46,18720,-24522,1,0.0,1.108,0.0
17116,5,27,37,3978,-7041,2,0,1.108,0
15065,4,26,38,19032,-32011,2,0.0,1.108,0.0
14006,4,26,40,25818,-35530,1,0.0,1.108,0.0
11981,4,26,42,24960,-32696,1,0.0,1.108,0.0
9973,4,26,44,24960,-32696,1,0.0,1.108,0.0
8052,4,26,46,18720,-24522,1,0.0,1.108,0.0
18195,4,28,36,15912,-28242,2,0.0,1.108,0.0
16116,4,28,38,31824,-55848,2,0.0,1.108,0.0
14063,4,28,40,26676,-38364,1,0.0,1.108,0.0
12038,4,28,42,24960,-32696,1,0.0,1.108,0.0
10024,4,28,44,24960,-32696,1,0.0,1.108,0.0
8085,4,28,46,15600,-20435,1,0.0,1.108,0.0
18251,4,30,36,15912,-28242,2,0.0,1.108,0.0
16173,4,30,38,31824,-55848,2,0.0,1.108,0.0
14116,4,30,40,30108,-49620,2,0.0,1.108,0.0
12091,4,30,42,24960,-32696,1,0.0,1.108,0.0
10071,4,30,44,24960,-32696,1,0.0,1.108,0.0
8119,4,30,46,12480,-16348,1,0.0,1.108,0.0
19367,4,32,34,7956,-14240,2,0.0,1.108,0.0
17287,4,32,36,19890,-35283,2,0.0,1.108,0.0
16226,4,32,38,31824,-55848,2,0.0,1.108,0.0
14165,4,32,40,30966,-52414,2,0.0,1.108,0.0
12140,4,32,42,25818,-35451,1,0.0,1.108,0.0
10120,4,32,44,24960,-32696,1,0.0,1.108,0.0
8149,4,32,46,3120,-4087,1,0,1.108,0
18354,4,34,36,15912,-28242,2,0.0,1.108,0.0
16274,4,34,38,31824,-55848,2,0.0,1.108,0.0
14211,4,34,40,31824,-55208,2,0.0,1.108,0.0
12186,4,34,42,29250,-46431,2,0.0,1.108,0.0
10165,4,34,44,24960,-32696,1,0.0,1.108,0.0
8173,4,34,46,6240,-8174,1,0.0,1.108,0.0
15284,4,36,38,19890,-34885,2,0.0,1.108,0.0
14254,4,36,40,31824,-55208,2,0.0,1.108,0.0
12230,4,36,42,31824,-54576,2,0.0,1.108,0.0
10208,4,36,44,28392,-43157,2,0.0,1.1079999999999999,0.0
8196,4,36,46,12480,-16348,1,0.0,1.108,0.0
13269,4,38,40,19890,-34485,2,0.0,1.108,0.0
12269,4,38,42,31824,-54576,2,0.0,1.108,0.0
10243,4,38,44,30966,-50704,2,0.0,1.108,0.0
8216,4,38,46,13338,-18784,1,0.0,1.108,0.0
11277,4,40,42,15912,-27248,2,0.0,1.108,0.0
10264,4,40,44,31824,-53140,2,0.0,1.108,0.0
8230,4,40,46,15054,-23656,2,0.0,1.108,0.0
10276,4,42,44,7956,-13285,2,0.0,1.108,0.0
8237,4,42,46,11934,-19569,2,0.0,1.1080000000000003,0.0
9366,6,10,44,6240,-8174,1,0.0,1.108,0.0
11461,6,12,42,15600,-20435,1,0.0,1.108,0.0
9408,6,12,44,24960,-32696,1,0.0,1.108,0.0
13517,6,14,40,12480,-16348,1,0.0,1.108,0.0
11505,6,14,42,24960,-32696,1,0.0,1.108,0.0
9499,6,14,44,24960,-32696,1,0.0,1.108,0.0
7691,6,14,46,6240,-8174,1,0.0,1.108,0.0
12641,6,16,40,15600,-20435,1,0.0,1.108,0.0
11593,6,16,42,24960,-32696,1,0.0,1.108,0.0
9591,6,16,44,24960,-32696,1,0.0,1.108,0.0
7739,6,16,46,12480,-16348,1,0.0,1.108,0.0
14706,6,18,38,6240,-8174,1,0.0,1.108,0.0
12685,6,18,40,18720,-24522,1,0.0,1.108,0.0
11682,6,18,42,24960,-32696,1,0.0,1.108,0.0
9685,6,18,44,24960,-32696,1,0.0,1.108,0.0
7836,6,18,46,18720,-24522,1,0.0,1.108,0.0
14790,7,20,39,3120,-4087,1,0,1.108,0
12773,6,20,40,18720,-24522,1,0.0,1.108,0.0
11770,6,20,42,24960,-32696,1,0.0,1.108,0.0
9774,6,20,44,24960,-32696,1,0.0,1.108,0.0
7915,6,20,46,15600,-20435,1,0.0,1.108,0.0
16966,7,23,37,3120,-4087,1,0,1.108,0
14915,6,22,38,12480,-16348,1,0.0,1.108,0.0
13853,6,22,40,24960,-32696,1,0.0,1.108,0.0
11848,6,22,42,24960,-32696,1,0.0,1.108,0.0
9851,6,22,44,24960,-32696,1,0.0,1.108,0.0
7968,6,22,46,12480,-16348,1,0.0,1.108,0.0
20202,6,24,34,7956,-14280,2,0.0,1.108,0.0
18092,6,24,36,21294,-33501,1,0.0,1.108,0.0
15976,6,24,38,24960,-32696,1,0.0,1.108,0.0
13936,6,24,40,24960,-32696,1,0.0,1.108,0.0
11917,6,24,42,24960,-32696,1,0.0,1.108,0.0
9918,6,24,44,24960,-32696,1,0.0,1.108,0.0
8013,6,24,46,12480,-16348,1,0.0,1.108,0.0
21285,6,26,32,12448.800000000001,-22572,2,0.0,1.108,0.0
19190,6,26,34,24039.6,-43109,2,0.0,1.108,0.0
18129,6,26,36,30108,-50576,2,0.0,1.108,0.0
16052,6,26,38,24960,-32696,1,0.0,1.108,0.0
14008,6,26,40,24960,-32696,1,0.0,1.108,0.0
11983,6,26,42,24960,-32696,1,0.0,1.108,0.0
9975,6,26,44,24960,-32696,1,0.0,1.108,0.0
22399,6,28,32,16598.4,-30124,2,0.0,1.108,0.0
20306,6,28,34,32510.4,-58354,2,0.0,1.108,0.0
18196,6,28,36,31824,-56484,2,0.0,1.108,0.0
16118,6,28,38,26676,-38524,1,0.0,1.108,0.0
14065,6,28,40,24960,-32696,1,0.0,1.108,0.0
12040,6,28,42,24960,-32696,1,0.0,1.108,0.0
10026,6,28,44,24960,-32696,1,0.0,1.108,0.0
23496,6,30,30,8299.2,-15186,2,0.0,1.108,0.0
21462,6,30,32,20233.2,-36698,2,0.0,1.108,0.0
20373,6,30,34,32853.6,-58970,2,0.0,1.1080000000000005,0.0
18252,6,30,36,31824,-56484,2,0.0,1.108,0.0
16175,6,30,38,27534,-41398,1,0.0,1.1079999999999999,0.0
14118,6,30,40,24960,-32696,1,0.0,1.108,0.0
12093,6,30,42,24960,-32696,1,0.0,1.108,0.0
10073,6,30,44,21840,-28609,1,0.0,1.108,0.0
23562,7,32,31,4149.6,-7593,2,0,1.108,0
21491,6,32,32,24039.6,-43588,2,0.0,1.1080000000000003,0.0
20432,6,32,34,31995.6,-57429,2,0.0,1.1080000000000003,0.0
18305,6,32,36,31824,-56484,2,0.0,1.108,0.0
16228,6,32,38,30108,-50100,2,0.0,1.108,0.0
14167,6,32,40,26676,-38364,1,0.0,1.108,0.0
12142,6,32,42,24960,-32696,1,0.0,1.108,0.0
10122,6,32,44,15600,-20435,1,0.0,1.108,0.0
22595,6,34,32,11934,-21639,2,0.0,1.1080000000000003,0.0
20487,6,34,34,27846,-49960,2,0.0,1.108,0.0
18355,6,34,36,31824,-56484,2,0.0,1.108,0.0
16276,6,34,38,31824,-55848,2,0.0,1.108,0.0
14213,6,34,40,28392,-43952,2,0.0,1.1079999999999999,0.0
12188,6,34,42,24960,-32696,1,0.0,1.108,0.0
10167,6,34,44,21840,-28609,1,0.0,1.108,0.0
20538,6,36,34,11934,-21400,2,0.0,1.1080000000000003,0.0
18402,6,36,36,27846,-49404,2,0.0,1.108,0.0
16319,6,36,38,31824,-55848,2,0.0,1.108,0.0
14256,6,36,40,31824,-55208,2,0.0,1.108,0.0
12232,6,36,42,28392,-43676,2,0.0,1.1079999999999999,0.0
10210,6,36,44,24960,-32696,1,0.0,1.108,0.0
18452,6,38,36,7956,-14121,2,0.0,1.108,0.0
16359,6,38,38,27846,-48847,2,0.0,1.108,0.0
14295,6,38,40,31824,-55208,2,0.0,1.108,0.0
12271,6,38,42,30966,-51861,2,0.0,1.108,0.0
10245,6,38,44,19578,-27197,1,0.0,1.108,0.0
14329,6,40,40,19890,-34485,2,0.0,1.108,0.0
12305,6,40,42,31824,-54576,2,0.0,1.108,0.0
10266,6,40,44,23181.6,-37701,2,0.0,1.108,0.0
12330,6,42,42,7956,-13644,2,0.0,1.108,0.0
10277,6,42,44,15912,-26809,2,0.0,1.108,0.0
10361,9,11,43,3120,-4087,1,0,1.108,0
8349,8,10,44,21840,-28609,1,0.0,1.108,0.0
12471,8,12,40,9360,-12261,1,0.0,1.108,0.0
11420,8,12,42,24960,-32696,1,0.0,1.108,0.0
9410,8,12,44,24960,-32696,1,0.0,1.108,0.0
16687,9,15,37,3120,-4087,1,0,1.108,0
14546,8,14,38,21840,-28609,1,0.0,1.108,0.0
13518,8,14,40,24960,-32696,1,0.0,1.108,0.0
11507,8,14,42,24960,-32696,1,0.0,1.108,0.0
9501,8,14,44,24960,-32696,1,0.0,1.108,0.0
7693,8,14,46,6240,-8174,1,0.0,1.108,0.0
17769,8,16,36,12480,-16348,1,0.0,1.108,0.0
15669,8,16,38,24960,-32696,1,0.0,1.108,0.0
13602,8,16,40,24960,-32696,1,0.0,1.108,0.0
11595,8,16,42,24960,-32696,1,0.0,1.108,0.0
9593,8,16,44,24960,-32696,1,0.0,1.108,0.0
7741,8,16,46,15600,-20435,1,0.0,1.108,0.0
18897,8,18,34,7956,-14240,2,0.0,0.975,0.0065
17828,8,18,36,13338,-19341,1,0.0,1.0683333333333336,0.0014912280701754386
15738,8,18,38,24960,-32696,1,0.0,1.108,0.0
13686,8,18,40,24960,-32696,1,0.0,1.108,0.0
11684,8,18,42,24960,-32696,1,0.0,1.108,0.0
9687,8,18,44,24960,-32696,1,0.0,1.108,0.0
7838,8,18,46,24960,-32696,1,0.0,1.108,0.0
18966,9,20,35,3978,-7120,2,0,0.975,0.006
16850,8,20,36,19032,-32329,2,0.0,0.9968032786885246,0.005016393442622951
15816,8,20,38,24960,-32696,1,0.0,1.108,0.0
13770,8,20,40,24960,-32696,1,0.0,1.108,0.0
11772,8,20,42,24960,-32696,1,0.0,1.108,0.0
9776,8,20,44,24960,-32696,1,0.0,1.108,0.0
7917,8,20,46,24960,-32696,1,0.0,1.108,0.0
21174,9,23,33,4056,-7341,2,0,0.975,0.002
19076,8,22,34,16224,-29080,2,0.0,0.975,0.0027500000000000003
16927,8,22,36,26442,-44051,2,0.0,1.006386430678466,0.001831858407079646
15896,8,22,38,26847.6,-38826,1,0.0,1.0677367809413132,0.000760023242300988
13855,8,22,40,24960,-32696,1,0.0,1.108,0.0
11850,8,22,42,24960,-32696,1,0.0,1.108,0.0
9853,8,22,44,24960,-32696,1,0.0,1.108,0.0
7970,8,22,46,12480,-16348,1,0.0,1.108,0.0
24332,8,24,30,8299.2,-15228,2,0.0,1.108,0.0
22284,8,24,32,24445.2,-44367,2,0.0,1.0638647096362477,0.0021569878749202295
20164,8,24,34,32292,-57960,2,0.0,1.0077681159420289,0.0035169082125603864
18054,8,24,36,32058,-56900,2,0.0,0.9749999999999999,0.00362043795620438
15978,8,24,38,28392,-44312,2,0.0,1.052096153846154,0.001120879120879121
13938,8,24,40,24960,-32696,1,0.0,1.108,0.0
11919,8,24,42,24960,-32696,1,0.0,1.108,0.0
9920,8,24,44,24960,-32696,1,0.0,1.108,0.0
8015,8,24,46,12480,-16348,1,0.0,1.108,0.0
25394,8,26,28,12448.800000000001,-23070,2,0.0,1.108,0.0
23350,8,26,30,29047.199999999997,-53277,2,0.0,1.0510000000000004,0.003714285714285715
22322,8,26,32,32853.6,-59628,2,0.0,1.0421946818613488,0.004700379867046535
20240,8,26,34,31824,-57120,2,0.0,1.024875,0.0038750000000000004
18131,8,26,36,31824,-56484,2,0.0,0.975,0.008000000000000002
16054,8,26,38,29250,-47186,2,0.0,1.0356480000000001,0.005032
14010,8,26,40,24960,-32696,1,0.0,1.108,0.0
11985,8,26,42,24960,-32696,1,0.0,1.108,0.0
9977,8,26,44,24960,-32696,1,0.0,1.108,0.0
27521,8,28,26,8299.2,-15518,2,0.0,1.108,0.0
25499,8,28,28,20748.0,-38464,2,0.0,1.1080000000000003,0.0
24441,8,28,30,33196.799999999996,-60912,2,0.0,1.0415000000000003,0.0036250000000000006
22400,8,28,32,33025.2,-59938,2,0.0,1.0418455361360417,0.003235710911667455
20308,8,28,34,31995.6,-57429,2,0.0,1.0087849829351536,0.006340809361287177
18198,8,28,36,31824,-56484,2,0.0,1.0082499999999999,0.008624999999999999
16120,8,28,38,30108,-50100,2,0.0,1.020137305699482,0.013344559585492228
14067,8,28,40,24960,-32696,1,0.0,1.108,0.0
12042,8,28,42,24960,-32696,1,0.0,1.108,0.0
10028,8,28,44,24960,-32696,1,0.0,1.108,0.0
27589,8,30,26,8299.2,-15518,2,0.0,1.0415,0.007
25535,8,30,28,24897.6,-46140,2,0.0,1.1080000000000005,0.0
24515,8,30,30,33196.799999999996,-60912,2,0.0,1.0913750000000007,0.0012500000000000002
22476,8,30,32,33025.2,-59935,2,0.0,1.0745772319319797,0.0023873405762871993
20375,8,30,34,32338.800000000003,-58045,2,0.0,1.0551056439942113,0.005289435600578871
18254,8,30,36,31824,-56484,2,0.0,1.0542500000000001,0.00975
16177,8,30,38,30108,-50100,2,0.0,1.108,0.0
14120,8,30,40,24960,-32696,1,0.0,1.108,0.0
12095,8,30,42,24960,-32696,1,0.0,1.108,0.0
10075,8,30,44,15600,-20435,1,0.0,1.108,0.0
27657,9,32,27,4149.6,-7759,2,0,1.108,0
25601,8,32,28,20748.0,-38464,2,0.0,1.1080000000000003,0.0
24579,8,32,30,33196.799999999996,-60912,2,0.0,1.1080000000000005,0.0
22541,8,32,32,32510.4,-58996,2,0.0,1.108,0.0
20434,8,32,34,31824,-57120,2,0.0,1.108,0.0
18307,8,32,36,31824,-56484,2,0.0,1.108,0.0
16230,8,32,38,29250,-47226,2,0.0,1.108,0.0
14169,8,32,40,24960,-32696,1,0.0,1.108,0.0
12144,8,32,42,24960,-32696,1,0.0,1.108,0.0
10124,8,32,44,12480,-16348,1,0.0,1.108,0.0
25659,9,34,29,4149.6,-7676,2,0,1.108,0
24640,8,34,30,24897.6,-45684,2,0.0,1.1080000000000005,0.0
22596,8,34,32,31824,-57756,2,0.0,1.0875000000000001,0.00775
20489,8,34,34,31824,-57120,2,0.0,1.09775,0.001625
18357,8,34,36,31824,-56484,2,0.0,1.108,0.0
16278,8,34,38,28392,-44352,1,0.0,1.108,0.0
14215,8,34,40,24960,-32696,1,0.0,1.108,0.0
12190,8,34,42,24960,-32696,1,0.0,1.108,0.0
10169,8,34,44,9360,-12261,1,0.0,1.108,0.0
22647,8,36,32,19890,-36078,2,0.0,1.0916000000000001,0.0068000000000000005
20539,8,36,34,31824,-57120,2,0.0,1.108,0.0
18404,8,36,36,31824,-56484,2,0.0,1.108,0.0
16321,8,36,38,30966,-52974,2,0.0,1.108,0.0
14258,8,36,40,25818,-35530,1,0.0,1.108,0.0
12234,8,36,42,24960,-32696,1,0.0,1.108,0.0
10212,8,36,44,6240,-8174,1,0.0,1.108,0.0
20587,8,38,34,7956,-14280,2,0.0,1.108,0.0
18453,8,38,36,27846,-49404,2,0.0,1.108,0.0
16361,8,38,38,31824,-55848,2,0.0,1.108,0.0
14297,8,38,40,28392,-43952,1,0.0,1.1079999999999999,0.0
12273,8,38,42,25818,-35451,1,0.0,1.108,0.0
10247,8,38,44,6240,-8174,1,0.0,1.108,0.0
16394,8,40,38,19890,-34885,2,0.0,1.108,0.0
14331,8,40,40,30966,-52414,2,0.0,1.108,0.0
12307,8,40,42,26676,-38206,1,0.0,1.108,0.0
10268,8,40,44,6240,-8174,1,0.0,1.108,0.0
14357,8,42,40,15912,-27604,2,0.0,1.108,0.0
12331,8,42,42,29250,-46391,2,0.0,1.108,0.0
10279,8,42,44,3120,-4087,1,0,1.108,0
14371,8,44,40,15912,-27604,2,0.0,1.0875000000000001,0.0025
12345,8,44,42,30108,-49146,2,0.0,1.108,0.002246113989637306
14385,8,46,40,15912,-27604,2,0.002,1.067,0.004
12357,8,46,42,31824,-54576,2,0.001,1.108,0.0045000000000000005
14399,8,48,40,11934,-20683,2,0.0,1.0806666666666667,0.005
12367,8,48,42,11934,-20526,2,0.0,1.1080000000000003,0.005333333333333333
13385,9,50,41,3978,-6881,2,0,1.108,0
12374,8,50,42,7956,-13684,2,0.0,1.108,0.0
8314,10,8,44,9360,-12261,1,0.0,1.108,0.0
11384,10,10,42,15600,-20435,1,0.0,1.108,0.0
9329,10,10,44,24960,-32696,1,0.0,1.108,0.0
14517,10,12,38,9360,-12261,1,0.0,1.108,0.0
12434,10,12,40,21840,-28609,1,0.0,1.108,0.0
11422,10,12,42,24960,-32696,1,0.0,1.108,0.0
9412,10,12,44,24960,-32696,1,0.0,1.108,0.0
18820,11,15,35,3978,-7120,2,0,0.975,0.01
17745,10,14,36,16458,-23428,1,0.0,1.0758530805687203,0.0031421800947867297
15603,10,14,38,24960,-32696,1,0.0,1.108,0.0
13520,10,14,40,24960,-32696,1,0.0,1.108,0.0
11509,10,14,42,24960,-32696,1,0.0,1.108,0.0
9503,10,14,44,24960,-32696,1,0.0,1.108,0.0
7695,11,15,46,3120,-4087,1,0,1.108,0
23066,11,17,31,4056,-7422,2,0,0.975,0.03
20979,10,16,32,19890,-36078,2,0.0,0.975,0.0158
19899,10,16,34,31824,-57120,2,0.0,0.975,0.009250000000000001
17770,10,16,36,29250,-47583,2,0.0,1.01756,0.008568
15671,10,16,38,24960,-32696,1,0.0,1.108,0.0
13604,10,16,40,24960,-32696,1,0.0,1.108,0.0
11597,10,16,42,24960,-32696,1,0.0,1.108,0.0
9595,10,16,44,24960,-32696,1,0.0,1.108,0.0
7743,10,16,46,21840,-28609,1,0.0,1.108,0.0
6371,10,16,48,6240,-8174,1,0.0,1.108,0.0
23089,10,18,30,8299.2,-15186,2,0.0,0.975,0.024499999999999997
21006,10,18,32,24211.199999999997,-43901,2,0.0,0.9750000000000001,0.01633569587628866
19952,10,18,34,31824,-57120,2,0.0,0.975,0.010624999999999999
17829,10,18,36,31824,-56484,2,0.0,0.975,0.01
15740,10,18,38,27534,-41398,1,0.0,1.0503541076487253,0.013291784702549575
13688,10,18,40,24960,-32696,1,0.0,1.108,0.0
11686,10,18,42,24960,-32696,1,0.0,1.108,0.0
9689,10,18,44,24960,-32696,1,0.0,1.108,0.0
7840,10,18,46,24960,-32696,1,0.0,1.108,0.0
23146,10,20,30,8299.2,-15186,2,0.0,0.975,0.013000000000000001
21069,10,20,32,24616.800000000003,-44637,2,0.0,0.9749999999999998,0.010666666666666666
20019,10,20,34,32214,-57820,2,0.0,0.9749999999999999,0.00775544794188862
17901,10,20,36,31824,-56484,2,0.00175,0.975,0.007124999999999999
15818,10,20,38,30108,-50100,2,0.0034352331606217618,1.0025647668393782,0.010437823834196891
13772,10,20,40,25818,-35530,1,0.000770392749244713,1.0875075528700906,0.002927492447129909
11774,10,20,42,24960,-32696,1,0.0,1.108,0.0
9778,10,20,44,24960,-32696,1,0.0,1.108,0.0
7919,10,20,46,24960,-32696,1,0.0,1.108,0.0
25295,11,23,29,4149.6,-7676,2,0,0.975,0.019
23245,10,22,30,16411.2,-30072,2,0.0,0.975,0.009298479087452472
21139,10,22,32,28392,-51507,2,0.0,0.9749999999999999,0.005714285714285716
20091,10,22,34,32448,-58240,2,0.0,0.9749999999999999,0.005375000000000001
17977,10,22,36,32214,-57177,2,0.0033753026634382568,0.975,0.0037457627118644065
15898,10,22,38,31902,-55985,2,0.004249388753056235,0.9749999999999999,0.0033716381418092915
13857,10,22,40,26676,-38364,1,0.0014912280701754386,1.0683333333333334,0.0026842105263157894
11852,10,22,42,24960,-32696,1,0.0,1.108,0.0
9855,10,22,44,24960,-32696,1,0.0,1.108,0.0
7972,10,22,46,18720,-24522,1,0.0,1.108,0.0
28453,10,24,26,8299.2,-15560,2,0.0,0.975,0.0085
26388,10,24,28,24897.6,-46182,2,0.0,0.9750000000000001,0.010833333333333335
24298,10,24,30,32822.4,-60228,2,0.0,0.9918146387832699,0.014965779467680608
22249,10,24,32,32448,-58888,2,0.0,0.9749999999999999,0.012249999999999999
20166,10,24,34,32448,-58240,2,0.0,0.9749999999999999,0.011374999999999998
18056,10,24,36,32448,-57592,2,0.0,0.9749999999999999,0.0031250000000000006
15980,10,24,38,32058,-56259,2,0.0,0.9749999999999999,0.002622871046228711
13940,10,24,40,30108,-49620,2,0.0,1.0025647668393782,0.0031709844559585495
11921,10,24,42,24960,-32696,1,0.0,1.108,0.0
9922,10,24,44,21840,-28609,1,0.0,1.108,0.0
8017,10,24,46,3120,-4087,1,0,1.108,0
30460,10,26,24,16598.4,-31452,2,0.00125,0.975,0.019250000000000003
28485,10,26,26,33196.799999999996,-62240,2,0.0,0.9750000000000002,0.008625000000000002
26422,10,26,28,33196.799999999996,-61576,2,0.0,0.9750000000000002,0.009000000000000003
24369,10,26,30,33009.6,-60570,2,0.0017400756143667298,0.975,0.011237240075614368
22324,10,26,32,32291.979999999996,-58605,2,0.0018840544927873734,0.9750000000000001,0.009630434244044497
20242,10,26,34,32291.989999999998,-57960,2,0.0031400951133702198,0.975,0.008884058244784544
18133,10,26,36,32136,-57039,2,0.0037500000000000003,0.9749999999999999,0.009378640776699029
16056,10,26,38,31902,-55985,2,0.004127139364303178,0.9749999999999999,0.010259168704156477
14012,10,26,40,30108,-49620,2,0.0023782383419689124,1.0025647668393782,0.005681347150259067
11987,10,26,42,24960,-32696,1,0.0,1.108,0.0
9979,10,26,44,3120,-4087,1,0,1.108,0
31502,10,28,22,8299.2,-15850,2,0.005,0.975,0.0485
29546,10,28,24,24897.6,-47136,2,0.004000000000000001,0.9750000000000001,0.022833333333333337
28551,10,28,26,33196.799999999996,-62240,2,0.0012500000000000002,0.9750000000000002,0.011875000000000005
26492,10,28,28,33196.799999999996,-61576,2,0.0,0.9750000000000002,0.028750000000000008
24443,10,28,30,33196.76,-58970,2,0.004124995029635422,0.975,0.06699998192594699
22402,10,28,32,32416.800000000003,-58836,2,0.0033647738209817133,0.9749999999999999,0.011755052935514917
20310,10,28,34,31902,-57260,2,0.004381418092909536,0.9749999999999999,0.00937163814180929
18200,10,28,36,31824,-56484,2,0.0038750000000000004,0.975,0.007500000000000001
16122,10,28,38,31824,-55848,2,0.0022500000000000003,0.975,0.015624999999999998
14069,10,28,40,30108,-49620,2,0.0007927461139896374,1.0025647668393782,0.012155440414507772
12044,10,28,42,26676,-38206,1,0.0,1.0683333333333334,0.004622807017543859
32469,10,30,22,13213.19,-18044,2,0.0078016527424490225,1.043173504657089,0.07959507507271144
29610,10,30,24,29047.199999999997,-55020,2,0.0010000000000000002,1.0275714285714288,0.029571428571428575
28617,10,30,26,33196.799999999996,-62240,2,0.0,1.0005000000000004,0.017750000000000005
26562,10,30,28,33196.799999999996,-61576,2,0.0,1.0005000000000004,0.016875000000000008
24517,10,30,30,33196.799999999996,-60912,2,0.0,1.0005000000000004,0.05650000000000001
22478,10,30,32,31995.6,-58069,2,0.0008703071672354949,1.0003632374451488,0.012724524622135545
20377,10,30,34,31823.989999999998,-57120,2,0.0016249979967942424,1.000500008012823,0.010749999292986206
18256,10,30,36,31824,-56484,2,0.0027500000000000003,1.0005,0.010750000000000001
16179,10,30,38,31824,-55848,2,0.0,1.006875,0.023749999999999997
